scenario,year,assistant_attention_share,locked_attention_share,open_web_attention_share,attention_hhi,sme_outside_platform_index
low,2025,0.02486,0.018645000000000002,0.97514,0.9512070294,97.514
low,2026,0.02988669314,0.022415019855,0.97011330686,0.9415664353602667,97.011330686
low,2027,0.035068402747604414,0.02630130206070331,0.9649315972523956,0.9317078838116936,96.49315972523956
low,2028,0.040391395380040766,0.030293546535030573,0.9596086046199592,0.9216644064710386,95.96086046199592
low,2029,0.045839952461781436,0.03437996434633608,0.9541600475382186,0.9114720469389848,95.41600475382185
low,2030,0.05139649465027608,0.03854737098770706,0.9486035053497239,0.9011694101929517,94.8603505349724
low,2031,0.05704175950097233,0.042781319625729244,0.9429582404990277,0.8907971244885055,94.29582404990276
low,2032,0.06275503066158258,0.04706627299618694,0.9372449693384174,0.8803972294868391,93.72449693384173
low,2033,0.06851441433899405,0.05138581075424554,0.9314855856610059,0.8700125087803349,93.14855856610059
low,2034,0.07429715631566838,0.05572286723675129,0.9257028436843316,0.8596857885235556,92.57028436843316
low,2035,0.0800799905286436,0.0600599928964827,0.9199200094713564,0.8494592262673143,91.99200094713564
base,2025,0.030260000000000002,0.022695,0.96974,0.9408535014,96.974
base,2026,0.04157071634,0.031178037255,0.95842928366,0.9194507540055311,95.842928366
base,2027,0.05395435874084274,0.04046576905563205,0.9460456412591572,0.8964578917590178,94.60456412591573
base,2028,0.06741000630024643,0.050557504725184825,0.9325899936997536,0.871996150823606,93.25899936997536
base,2029,0.08190876892398627,0.0614315766929897,0.9180912310760138,0.846246031791992,91.80912310760138
base,2030,0.09738965494553958,0.07304224120915469,0.9026103450544605,0.8194478074445378,90.26103450544605
base,2031,0.11375675282736039,0.08531756462052029,0.8862432471726396,0.7918973925660169,88.62432471726396
base,2032,0.13087835358180483,0.09815876518635362,0.8691216464181952,0.7639370079908163,86.91216464181952
base,2033,0.14858855580892205,0.11144141685669154,0.851411444191078,0.7359407267582276,85.14114441910779
base,2034,0.1666916868849093,0.12501876516368196,0.8333083131150907,0.7082958039449864,83.33083131150907
base,2035,0.18496954784431058,0.13872716088323295,0.8150304521556895,0.681381504755972,81.50304521556895
high,2025,0.03566,0.026744999999999998,0.96434,0.9305874533999999,96.434
high,2026,0.053990327539999994,0.040492745654999995,0.94600967246,0.8963917781218147,94.600967246
high,2027,0.07522825535884323,0.05642119151913242,0.9247717446411567,0.8580324248888165,92.47717446411568
high,2028,0.09954087223550608,0.07465565417662956,0.9004591277644939,0.8157808333970958,90.04591277644938
high,2029,0.12698570312436036,0.09523927734327027,0.8730142968756396,0.7702166469482614,87.30142968756395
high,2030,0.15746910763869296,0.11810183072901972,0.8425308923613071,0.7222565645134035,84.2530892361307
high,2031,0.19070945613886042,0.1430320921041453,0.8092905438611395,0.6731362327134489,80.92905438611395
high,2032,0.22621471897397094,0.1696610392304782,0.7737852810260291,0.6243302106727671,77.3785281026029
high,2033,0.26328493090085997,0.19746369817564496,0.73671506909914,0.5774085704574858,73.671506909914
high,2034,0.3010474335782086,0.22578557518365647,0.6989525664217914,0.5338494687396217,69.89525664217913
high,2035,0.33852610091565916,0.25389457568674434,0.6614738990843408,0.49484767967042026,66.14738990843408
