year,cmach_share,cmach_va_bln_rub,manufacturing_total_va_bln_rub,source
2011,0.18782250797941819,1295.155853056263,6895.637093708639,Rosstat_VDS_OKVED2_26_30_share
2012,0.20690054115797205,1608.4856705441985,7774.197503505284,Rosstat_VDS_OKVED2_26_30_share
2013,0.19587405025512544,1580.7530302490677,8070.252431039951,Rosstat_VDS_OKVED2_26_30_share
2014,0.20253249482956873,1814.3892185385193,8958.509201525067,Rosstat_VDS_OKVED2_26_30_share
2015,0.21030619042495713,2163.783277667185,10288.728416861702,Rosstat_VDS_OKVED2_26_30_share
2016,0.16925251814436598,1695.4570846840013,10017.32265653998,Rosstat_VDS_OKVED2_26_30_share
2017,0.1894373571192745,2142.2417317554673,11308.443932770126,Rosstat_VDS_OKVED2_26_30_share
2018,0.16954858214715246,2257.530670383667,13314.948681931999,Rosstat_VDS_OKVED2_26_30_share
2019,0.1827212401223511,2597.4422929694083,14215.327628195535,Rosstat_VDS_OKVED2_26_30_share
2020,0.1840573298412016,2655.8027031758847,14429.214557590403,Rosstat_VDS_OKVED2_26_30_share
2021,0.15876598294269587,2809.095997545632,17693.311536133857,Rosstat_VDS_OKVED2_26_30_share
2022,0.15418780862774015,3183.0026494833646,20643.67266006209,Rosstat_VDS_OKVED2_26_30_share
2023,0.18182557804218002,4105.84740912348,22581.242162590584,Rosstat_VDS_OKVED2_26_30_share
2024,0.21015189391263478,5639.664498283935,26836.134537186135,Rosstat_VDS_OKVED2_26_30_share
2025,0.22083423881734687,6451.997026291647,29216.470511296604,Rosstat_VDS_OKVED2_26_30_share
