sector_id,sector_name_ru,klems_1995_2016_period_start,klems_1995_2016_period_end,fit_quality,klems_1995_2016_LP_I_start,klems_1995_2016_LP_I_end,klems_1995_2016_LP_I_cagr,klems_1995_2016_H_EMP_start,klems_1995_2016_H_EMP_end,klems_1995_2016_H_EMP_cagr,klems_1995_2016_EMP_start,klems_1995_2016_EMP_end,klems_1995_2016_EMP_cagr,klems_1995_2016_LAB_QI_start,klems_1995_2016_LAB_QI_end,klems_1995_2016_LAB_QI_cagr,klems_1995_2016_CAP_QI_start,klems_1995_2016_CAP_QI_end,klems_1995_2016_CAP_QI_cagr,klems_1995_2016_CAPIT_QI_start,klems_1995_2016_CAPIT_QI_end,klems_1995_2016_CAPIT_QI_cagr,klems_1995_2016_CAPNIT_QI_start,klems_1995_2016_CAPNIT_QI_end,klems_1995_2016_CAPNIT_QI_cagr,klems_1995_2016_TFPva_I_start,klems_1995_2016_TFPva_I_end,klems_1995_2016_TFPva_I_cagr,klems_1995_2016_labour_share_klems_start,klems_1995_2016_labour_share_klems_end,klems_1995_2016_labour_share_klems_cagr,klems_1995_2016_capital_labour_comp_ratio_start,klems_1995_2016_capital_labour_comp_ratio_end,klems_1995_2016_capital_labour_comp_ratio_cagr,klems_1995_2016_labour_share_change_pp,klems_1995_2016_productivity_hours_gap_cagr,klems_1995_2016_capital_labour_services_gap_cagr,klems_1995_2016_ict_nonict_services_gap_cagr,klems_1995_2016_employment_contraction_cagr,klems_1995_2016_productivity_hours_gap_score,klems_1995_2016_capital_labour_services_gap_score,klems_1995_2016_ict_nonict_services_gap_score,klems_1995_2016_employment_contraction_score,klems_1995_2016_managed_obsolescence_pressure_score,klems_1995_2016_managed_obsolescence_pressure_rank,klems_2000_2016_period_start,klems_2000_2016_period_end,klems_2000_2016_LP_I_start,klems_2000_2016_LP_I_end,klems_2000_2016_LP_I_cagr,klems_2000_2016_H_EMP_start,klems_2000_2016_H_EMP_end,klems_2000_2016_H_EMP_cagr,klems_2000_2016_EMP_start,klems_2000_2016_EMP_end,klems_2000_2016_EMP_cagr,klems_2000_2016_LAB_QI_start,klems_2000_2016_LAB_QI_end,klems_2000_2016_LAB_QI_cagr,klems_2000_2016_CAP_QI_start,klems_2000_2016_CAP_QI_end,klems_2000_2016_CAP_QI_cagr,klems_2000_2016_CAPIT_QI_start,klems_2000_2016_CAPIT_QI_end,klems_2000_2016_CAPIT_QI_cagr,klems_2000_2016_CAPNIT_QI_start,klems_2000_2016_CAPNIT_QI_end,klems_2000_2016_CAPNIT_QI_cagr,klems_2000_2016_TFPva_I_start,klems_2000_2016_TFPva_I_end,klems_2000_2016_TFPva_I_cagr,klems_2000_2016_labour_share_klems_start,klems_2000_2016_labour_share_klems_end,klems_2000_2016_labour_share_klems_cagr,klems_2000_2016_capital_labour_comp_ratio_start,klems_2000_2016_capital_labour_comp_ratio_end,klems_2000_2016_capital_labour_comp_ratio_cagr,klems_2000_2016_labour_share_change_pp,klems_2000_2016_productivity_hours_gap_cagr,klems_2000_2016_capital_labour_services_gap_cagr,klems_2000_2016_ict_nonict_services_gap_cagr,klems_2000_2016_employment_contraction_cagr,klems_2000_2016_productivity_hours_gap_score,klems_2000_2016_capital_labour_services_gap_score,klems_2000_2016_ict_nonict_services_gap_score,klems_2000_2016_employment_contraction_score,klems_2000_2016_managed_obsolescence_pressure_score,klems_2000_2016_managed_obsolescence_pressure_rank,official_period_start,official_period_end,official_lp_per_worker_proxy_start,official_lp_per_worker_proxy_end,official_employment_start,official_employment_end,official_real_va_start,official_real_va_end,official_fot_proxy_start,official_fot_proxy_end,official_ict_digital_share_start,official_ict_digital_share_end,official_fixed_asset_renewal_2017,official_fixed_asset_renewal_2020,official_lp_per_worker_proxy_cagr,official_employment_cagr,official_real_va_cagr,official_fot_proxy_cagr,official_ict_digital_share_cagr,official_fixed_asset_renewal_cagr_2017_2020,official_productivity_hours_gap_cagr,official_capital_labour_services_gap_cagr,official_ict_nonict_services_gap_cagr,official_employment_contraction_cagr,official_productivity_hours_gap_score,official_capital_labour_services_gap_score,official_ict_nonict_services_gap_score,official_employment_contraction_score,official_managed_obsolescence_pressure_score,official_managed_obsolescence_pressure_rank,updated_productivity_hours_gap_score,updated_capital_labour_services_gap_score,updated_ict_nonict_services_gap_score,updated_employment_contraction_score,mos_score_recent_2017_2024,mos_score_updated,mos_rank_updated,mos_score_klems_1995_2016,mos_rank_klems_1995_2016,mos_score_klems_2000_2016,mos_rank_klems_2000_2016,rank_delta_vs_klems_1995_2016,managed_obsolescence_pressure_score,managed_obsolescence_pressure_rank
J,ИТ и связь,1995,2016,weak_proxy,100.0,308.112031,0.05504708230313504,1629.234479,1510.378428,-0.0036006461529305422,848.563531,786.652268,-0.0036010553808720758,100.0,105.081341,0.0023630037149453553,100.0,452.806223,0.07456804896422509,100.0,3481.461967,0.18417863613041563,100.0,292.113604,0.05237163176509552,100.0,126.114165,0.011109706256915208,0.448667000007413,0.5539650000005154,0.0100896340437997,1.228824495635912,0.8051681965450337,-0.01993024241124408,0.10529799999310241,0.058647728456065584,0.07220504524927973,0.1318070043653201,0.0036010553808720758,0.9973920078181611,1.0,1.0,0.16386115253024988,0.8736663756158938,1,2000,2016,107.674293,308.112031,0.06791648168605469,1592.381069,1510.378428,-0.003298933380383118,829.368958,786.652268,-0.0032994706351927583,101.705614,105.081341,0.002042847734590625,127.227872,452.806223,0.08257534661506893,358.853179,3481.461967,0.1525978458639532,116.950934,292.113604,0.05888002449094221,92.054823,126.114165,0.019870036671327362,0.5063654999998819,0.5539650000005154,0.005630967589923541,0.9748580817615601,0.8051681965450337,-0.011881396331054894,0.04759950000063351,0.0712154150664378,0.08053249888047831,0.09371782137301099,0.0032994706351927583,1.0,1.0,1.0,0.19392825710570621,0.8790892385658557,1,2017,2024,1.8317137210277326,2.2854315589713785,1449.9,1890.6,2655.801724118109,4320.836905391288,1023.24430656,3766.91689512,62.5,50.05,4.5,6.7,0.03211975063577954,0.03864215072640631,0.07200307760754843,0.2046422759180091,-0.031236598327618492,0.1418807798700521,0.03211975063577954,0.004620790779795714,-0.031236598327618492,-0.03864215072640631,0.2375298337780709,0.00038454745781500596,0.0,0.0,0.08325080605966931,8,0.7679438624541955,0.6957692100958567,0.6956521739130435,0.13490661363875214,0.08325080605966931,0.636877541716147,1,0.8736663756158938,1,0.8790892385658557,1,0,0.636877541716147,1
C_mach,Машиностроение (ОКВЭД 26–30),1995,2016,partial_proxy,100.0,199.9983686666667,0.033557381558501076,10164.20835,6374.0377450000005,-0.021975858865673215,5293.882888,3319.797977,-0.021976260542945325,100.0,73.28397433333333,-0.01469234294433952,100.0,134.32442666666668,0.01415098974747342,100.0,94.45533366666666,-0.002712653271689014,100.0,139.54942466666668,0.015995564392106587,100.0,168.93558066666668,0.02528325211557836,0.6426459999943928,0.8577153659174942,0.0138415032443433,0.5560666369906756,0.1658879387456286,-0.055971422242215074,0.21506936592310144,0.05553324042417429,0.02884333269181294,-0.0187082176637956,0.021976260542945325,0.9444254982323593,0.3183067508766107,0.0,1.0,0.576040949644309,2,2000,2016,130.47594666666666,199.9983686666667,0.027054523700188682,8387.888783,6374.0377450000005,-0.01701334258873277,4368.7121879999995,3319.797977,-0.0170138724724076,84.83851633333333,73.28397433333333,-0.009108742254316127,82.72233899999999,134.32442666666668,0.030761673322761585,87.66781833333333,94.45533366666666,0.0046716396699895135,82.26521333333334,139.54942466666668,0.03358093254132033,128.40265599999998,168.93558066666668,0.01729449675805861,0.6247065000029811,0.8577153659174942,0.0200094558844246,0.6007517130018026,0.1658879387456286,-0.0772798874058005,0.23300886591451309,0.04406786628892145,0.03987041557707771,-0.028909292871330816,0.0170138724724076,0.6187967344964563,0.4785101432652802,0.0,1.0,0.5101319000533437,2,2017,2024,1.193623210186389,1.6931649823200954,1939.3838872442848,2221.557700929245,2314.8936212762815,3761.463705416937,896.0302648168299,2345.290467263281,74.77000000000001,62.67,3.4000000000000004,5.8,0.051211949365091325,0.019594978269316554,0.07181042466934628,0.1473509509187585,-0.024903778754217898,0.19485817377914993,0.051211949365091325,0.05965882376486886,-0.024903778754217898,-0.019594978269316554,0.3787191861505527,0.3405029898302316,0.0,0.0,0.2347026121017629,5,0.5457296545650944,0.4365079661328741,0.0,0.6956521739130435,0.2347026121017629,0.4263055950246018,2,0.576040949644309,2,0.5101319000533437,2,0,0.4263055950246018,2
C,Обрабатывающая промышленность,1995,2016,exact_old_nace,100.0,178.752235,0.02804464511554694,24939.901155,18608.571617,-0.013848296962472584,12989.591653,9691.925414,-0.01384870197287047,100.0,90.760619,-0.004605775303680115,100.0,208.662214,0.035646662758911374,100.0,171.316667,0.02596681823224456,100.0,209.546213,0.03585517217254597,100.0,107.489617,0.0034451624468110342,0.5336004981048662,0.5930941957282881,0.005046299629244411,0.8740612191172923,0.6860728147441288,-0.011465509603541313,0.05949369762342194,0.041892942078019524,0.04025243806259149,-0.009888353940301409,0.01384870197287047,0.7124519007399746,0.49767028730266155,0.0,0.6301664446418337,0.4931842181460646,3,2000,2016,115.011696,178.752235,0.02794373042152154,22077.188627,18608.571617,-0.010625803798088862,11498.58868,9691.925414,-0.010626337109147954,94.957518,90.760619,-0.0028212709990674822,94.15419,208.662214,0.05099405632700482,113.93247,171.316667,0.02582199452348699,93.493141,209.546213,0.051734824081230535,112.074616,107.489617,-0.0026072581144990226,0.4994083103620311,0.5930941957282881,0.010803516930399493,1.0023695626432008,0.6860728147441288,-0.023417592981114677,0.09368588536625705,0.0385695342196104,0.053815327326072304,-0.025912829557743544,0.010626337109147954,0.5415896850931553,0.6573531694796633,0.0,0.6245689878292736,0.48044768880089433,3,2017,2024,1.6020664764689487,1.976570458571401,8298.216112755716,8349.642299070756,13294.293848740406,16503.65630798145,3833.9252119831704,8814.68731641672,69.15,58.25,3.4000000000000004,5.8,0.030464677733440526,0.0008829801665133363,0.03137455760617147,0.12629432620559644,-0.024207045872586597,0.19485817377914993,0.030464677733440526,0.04996920258986248,-0.024207045872586597,-0.0008829801665133363,0.2252903492365797,0.2806240537113525,0.0,0.0,0.16303883834620864,7,0.4453246698324584,0.5426964820719166,0.0,0.4344827741421034,0.16303883834620864,0.3838449951842509,3,0.4931842181460646,3,0.48044768880089433,3,0,0.3838449951842509,3
K,Финансы и страхование,1995,2016,exact_old_nace,100.0,401.379401,0.0684168240666414,1183.637674,2078.910271,0.02718442797049958,616.480793,1082.761412,0.027184006113335935,100.0,207.448964,0.035359118856786775,100.0,257.454392,0.04606135325987615,100.0,183.118037,0.029226609570805584,100.0,268.265957,0.048112460198008744,100.0,297.531931,0.05329304895832321,0.37784399999930096,0.4087359999999421,0.0037492996209242957,1.6465948910181187,1.4465669772179148,-0.006148463495470269,0.03089200000064113,0.04123239609614182,0.010702234403089372,-0.01888585062720316,-0.027184006113335935,0.7012183321011694,0.03310896910732924,0.0,0.0,0.25535910696760805,8,2000,2016,104.487727,401.379401,0.08775380820092504,1081.483971,2078.910271,0.04168996059305918,563.275495,1082.761412,0.04168939902173663,101.22676,207.448964,0.045865882224236154,120.809006,257.454392,0.04842546796311664,133.547314,183.118037,0.01992561233179657,115.581244,268.265957,0.05403464880701492,84.548328,297.531931,0.0818119758064404,0.4314405000012288,0.4087359999999421,-0.003373057110618416,1.317816709365838,1.4465669772179148,0.005843053691335864,-0.02270450000128671,0.04606384760786586,0.0025595857388804877,-0.034109036475218346,-0.04168939902173663,0.6468241119551474,0.0,0.0,0.0,0.2263884391843016,7,2017,2024,2.8098701562858257,6.827432024144156,1422.9,1276.3,3998.1642453791014,8713.851492415186,1449.7188192,3154.6153944,60.05,49.4,7.8500000000000005,13.5,0.13522406901437778,-0.015413094242901493,0.11772675345184913,0.11747423915533406,-0.027504265084642765,0.19808612115377033,0.13522406901437778,0.0991693177251427,-0.027504265084642765,0.015413094242901493,1.0,0.5846659247007001,0.0,1.0,0.6753997774102101,1,0.7543124257079287,0.17794180316977828,0.0,0.30434782608695654,0.6753997774102101,0.363044063861752,4,0.25535910696760805,8,0.2263884391843016,7,-4,0.363044063861752,4
DE,Энергетика и ЖКХ,1995,2016,partial_old_nace,100.0,88.860777,-0.005607994466948929,2758.657985,3454.490552,0.010768552221187777,1436.807649,1799.206595,0.010768137093125851,100.0,138.050981,0.015473390171142576,100.0,263.081928,0.047138998043553926,100.0,440.957047,0.07321204314318042,100.0,255.221042,0.04562744811589314,100.0,61.025785,-0.023243407390845294,0.3454839999915683,0.4987519999998344,0.0176376741938562,1.8944900487678595,1.0050044912107259,-0.029737340696228465,0.15326800000826607,-0.016376546688136706,0.03166560787241135,0.027584595027287273,-0.010768137093125851,0.0,0.36267598410817814,0.2092801908374536,0.0,0.15065883339994418,9,2000,2016,76.359754,88.860777,0.009520980401546586,3465.31338,3454.490552,-0.0001954856496335644,1804.859028,1799.206595,-0.00019602458026657388,128.240337,138.050981,0.004617936724766514,103.090608,263.081928,0.06030179024725735,139.252158,440.957047,0.07469974810220026,102.074184,255.221042,0.05894897676188471,87.248532,61.025785,-0.022093792596664996,0.35739249999861944,0.4987519999998344,0.021048098764005152,1.7980441671379868,1.0050044912107259,-0.035703749825159115,0.14135950000121494,0.00971646605118015,0.055683853522490834,0.01575077134031555,0.00019602458026657388,0.13643768055154254,0.6813169553783036,0.1680659143539532,0.011521455834612521,0.28748967605251347,5,2017,2024,1.3820664379124743,1.6269790652249114,2389.1,2190.5,3301.894926816692,3563.8976423751683,1140.3970826399998,2088.5594016,43.85,48.65,2.525,4.05,0.023580169549852537,-0.012321588097601754,0.0109680363157858,0.0902887563871193,0.01495023756173941,0.17057132251103901,0.023580169549852537,0.045625301219852754,0.01495023756173941,0.012321588097601754,0.17437849431483504,0.25378005352355854,1.0,0.7994233930851663,0.45707999803003474,2,0.1479848847403707,0.5511970287268594,0.42126324476796745,0.2513176976065202,0.45707999803003474,0.33910412187175903,5,0.15065883339994418,9,0.28748967605251347,5,-4,0.33910412187175903,5
B,Добыча полезных ископаемых,1995,2016,exact_old_nace,100.0,167.45073,0.024852318309702914,2010.994309,1965.603195,-0.0010865575146151718,1047.397691,1023.747548,-0.001086967740615452,100.0,106.161102,0.002851084467836218,100.0,316.783206,0.05644238416784897,100.0,252.867095,0.0451661808891195,100.0,316.043091,0.056324719190042005,100.0,62.908775,-0.021828915930549808,0.12574600000311847,0.15647499999993147,0.010465443336949987,6.9525392456819235,5.390797251959981,-0.012041846035994008,0.030728999996813,0.025938875824318086,0.05359129970001275,-0.011158538300922505,0.001086967740615452,0.44112923245345004,0.7073716895978354,0.0,0.04946099626418851,0.3740258876776864,5,2000,2016,111.892898,167.45073,0.025516807847776102,1888.501383,1965.603195,0.0025041033039698846,983.598999,1023.747548,0.002503562905091794,95.646008,106.161102,0.006540283039877526,116.694374,316.783206,0.06440526587802231,164.47326,252.867095,0.027246839297361047,115.475585,316.043091,0.06494825951631378,92.659142,62.908775,-0.023912087602064425,0.1297194999991338,0.15647499999993147,0.011789063755096363,6.708941215520239,5.390797251959981,-0.013578707416811442,0.026755500000797683,0.023012704543806217,0.057864982838144785,-0.03770142021895273,-0.002503562905091794,0.32314218097777514,0.7092898658131497,0.0,0.0,0.3258867230861662,4,2017,2024,13.90698034970233,12.782274714313361,1134.4,1234.1,15776.078508702323,15774.60522493412,1013.80102848,2311.4465925599993,54.4,37.7,4.800000000000001,7.4,-0.01197507464746661,0.01210671186349388,-1.3341562273394558e-05,0.12494948026889263,-0.05103778257150937,0.15521679473813488,-0.01197507464746661,0.015126986453484426,-0.05103778257150937,-0.01210671186349388,0.0,0.06530966766994094,0.0,0.0,0.01959290030098228,10,0.2247945606801914,0.5132958924652166,0.0,0.0,0.01959290030098228,0.23266686397763195,6,0.3740258876776864,5,0.3258867230861662,4,1,0.23266686397763195,6
H,Транспорт и логистика,1995,2016,partial_old_nace,100.0,144.91495,0.017822522418152298,8317.289309,8973.966296,0.003625191084977386,4331.941458,4673.921986,0.0036247789036596423,100.0,113.493535,0.006045615169017582,100.0,269.938713,0.048422751352905635,100.0,344.238999,0.060632095986287604,100.0,267.777682,0.04802153919683172,100.0,94.841718,-0.0025187659170863297,0.44866700000107107,0.6313706516065223,0.016400276236365086,1.2288244956674168,0.5838556915110015,-0.03481565441725809,0.1827036516054512,0.014197331333174912,0.04237713618388805,0.012610556789455885,-0.0036247789036596423,0.24144677341873244,0.5310728509996898,0.09567440554603684,0.0,0.26296310710567067,7,2000,2016,114.025388,144.91495,0.015095674180943819,7654.419021,8973.966296,0.009989857586126139,3986.694927,4673.921986,0.009989313166253178,93.928474,113.493535,0.011895969430448572,94.30177,269.938713,0.06793933507698302,171.496488,344.238999,0.044510481621658826,91.966535,267.777682,0.06907711896567803,111.748559,94.841718,-0.010200243699473588,0.5063655000004536,0.6313706516065223,0.01388516278555807,0.9748580817593306,0.5838556915110015,-0.03153203965070006,0.12500515160606873,0.00510581659481768,0.05604336564653445,-0.024566637344019204,-0.009989313166253178,0.07169538491146048,0.6859276863303555,0.0,0.0,0.2308716906181178,6,2017,2024,1.4108310364066503,1.3805914422434395,5298.0,5917.1,7474.582830882433,8169.097622898656,2795.233276800001,6399.009925560001,47.7,43.599999999999994,1.5999999999999999,3.9,-0.003090490230370002,0.01591344470558198,0.012773774129817728,0.12560227150074788,-0.012757107586529814,0.3458031530218211,-0.003090490230370002,0.11648732782544546,-0.012757107586529814,-0.01591344470558198,0.0,0.6916860033779708,0.0,0.0,0.20750580101339125,6,0.0498750503731899,0.6876802176057167,0.0,0.0,0.20750580101339125,0.2237603329123315,7,0.26296310710567067,7,0.2308716906181178,6,0,0.2237603329123315,7
F,Строительство,1995,2016,exact_old_nace,100.0,180.364299,0.028484252836117552,11168.479618,11091.366953,-0.00032987115698834835,5816.943248,5776.730394,-0.00033028172109694776,100.0,105.684348,0.002636164608989189,100.0,192.34932,0.03163988991641209,100.0,208.194505,0.03553600338443719,100.0,190.9622,0.0312843993765195,100.0,138.682844,0.015694235340019347,0.6912710000026496,0.7249464999999268,0.00226761128855979,0.44661066354030055,0.37941213593017,-0.007734891150812717,0.03367549999727715,0.0288141239931059,0.0290037253074229,0.0042516040079176864,0.00033028172109694776,0.4900271116985272,0.3208282971168716,0.032256282800675884,0.015029022815393069,0.27646358821199013,6,2000,2016,115.562511,180.364299,0.028213615666763836,8869.621817,11091.366953,0.014068980444231771,4619.615964,5776.730394,0.014068433821927018,82.067863,105.684348,0.015932483543408926,111.888676,192.34932,0.03444292239157676,215.853961,208.194505,-0.0022555343009714734,110.478125,190.9622,0.03479529321425501,101.672762,138.682844,0.019591326534988518,0.5660659999989421,0.7249464999999268,0.015581849249634905,0.7665784555144537,0.37941213593017,-0.04300501251267619,0.15888050000098464,0.014144635222532065,0.01851043884816783,-0.03705082751522648,-0.014068433821927018,0.1986176056031738,0.2045691569881556,0.0,0.0,0.1308869090575575,9,2017,2024,0.86573021575008,1.0221288277933172,6351.1,6816.0,5498.339173250333,6966.830090239249,2566.70052828,7001.910489600001,48.35,31.45,3.0999999999999996,9.5,0.02400787023390194,0.010143206119960668,0.03439459313014637,0.15415211206465185,-0.05958891699011348,0.45251503726981723,0.02400787023390194,0.16637875916765588,-0.05958891699011348,-0.010143206119960668,0.17754139783612996,1.0,0.0,0.0,0.3621394892426455,3,0.19220310758711695,0.44665680486132564,0.0,0.0,0.3621394892426455,0.20126812911388864,8,0.27646358821199013,6,0.1308869090575575,9,2,0.20126812911388864,8
M,Профессиональные и научные услуги,1995,2016,weak_proxy,100.0,368.043166,0.06401453306784277,6322.29582,7051.782988,0.005213451851681761,3292.877566,3672.788872,0.005213039014823506,100.0,115.063876,0.006704145782918447,100.0,195.212063,0.0323658978411383,100.0,224.976711,0.03936587897631472,100.0,201.902677,0.034023895546913874,100.0,323.907955,0.05756188717575128,0.6491820000060425,0.9842770000000335,0.020016469706245266,0.5404000726925453,0.015974161745083756,-0.15437791270752366,0.33509499999399095,0.05880108121616101,0.025661752058219855,0.005341983429400843,-0.005213039014823506,1.0,0.26828884541248144,0.04052882815388814,0.0,0.438592419254522,4,2000,2016,268.15327,368.043166,0.019987216512058703,4948.220112,7051.782988,0.022387710704750097,2577.20984,3672.788872,0.022387159597808903,80.428231,115.063876,0.02263500628239523,87.404641,195.212063,0.051503590202857996,98.950946,224.976711,0.05267631329215994,86.104919,201.902677,0.05470773773069082,253.186479,323.907955,0.0155149447755063,0.773635499998783,0.9842770000000335,0.015164235792634706,0.2925983877440645,0.015974161745083756,-0.16618129327536246,0.21064150000125048,-0.0024004941926913936,0.028868583920462765,-0.002031424438530882,-0.022387159597808903,0.0,0.33741202068217546,0.0,0.0,0.10122360620465264,10,2017,2024,1.4242850265988125,1.8489495458086838,2948.9,2977.7,4200.074114937239,5505.617062554517,2023.37475984,4545.40068708,46.150000000000006,34.05,2.55,6.1,0.03798179355842235,0.0013893887328919607,0.03942395376733954,0.12257067301236058,-0.0425082102348503,0.3374058489514562,0.03798179355842235,0.12712956485321758,-0.0425082102348503,-0.0013893887328919607,0.2808804219194433,0.757451818123305,0.0,0.0,0.3255436931087966,4,0.0854853458015697,0.46525021990338883,0.0,0.0,0.3255436931087966,0.16949493700156604,9,0.438592419254522,4,0.10122360620465264,10,5,0.16949493700156604,9
G,Оптовая и розничная торговля,1995,2016,good_proxy,100.0,117.234323,0.007600380547526209,12827.909462,26288.650162,0.034757745118829675,6681.233604,13691.950239,0.03475732014363264,100.0,205.007202,0.03477552610236412,100.0,243.904852,0.04337173759360535,100.0,323.995036,0.05757542449581465,100.0,239.686404,0.04250526535490251,100.0,104.737208,0.0022064423346850326,0.43314499999990874,0.561323385686766,0.012420532457680489,1.3086957023634365,0.7815042549430279,-0.024251828246074303,0.12817838568685724,-0.027157364571303466,0.008596211491241235,0.015070159140912143,-0.03475732014363264,0.0,0.0,0.11433504018605303,0.0,0.022867008037210607,10,2000,2016,76.992067,117.234323,0.026627870242599272,18306.830693,26288.650162,0.022874130767636558,9534.851549,13691.950239,0.022873579395935595,147.762852,205.007202,0.020675618965329656,99.063445,243.904852,0.057929404659487815,172.853896,323.995036,0.04004875623537796,96.523324,239.686404,0.05849350048751689,92.253223,104.737208,0.0079638699992719,0.3728370000000331,0.561323385686766,0.02590201589024277,1.6821372342334886,0.7815042549430279,-0.04678280009939251,0.18848638568673287,0.003753739474962714,0.03725378569415816,-0.018444744252138934,-0.022873579395935595,0.05270964820552967,0.4449519526386483,0.0,0.0,0.15193396266352985,8,2017,2024,1.1113361947020797,1.1603373136339534,13726.6,13481.7,15254.867410197565,15643.319561218868,5286.250926,12486.84221556,58.599999999999994,44.8,4.5,6.6,0.0061829905575201405,-0.002568459548971558,0.003598650247410129,0.13065280435024684,-0.03763447487544147,0.13617128057248995,0.0061829905575201405,0.004558563234826618,-0.03763447487544147,0.002568459548971558,0.045724038646276284,0.0,0.0,0.1666413964966485,0.04099962300069397,9,0.05058359312227864,0.30953179313992923,0.0,0.05071694675984954,0.04099962300069397,0.11817133754875371,10,0.022867008037210607,10,0.15193396266352985,8,0,0.11817133754875371,10
