sector_id,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_index_no_gate,financial_risk_penalty,resilience_index,rank
B,0.07563441439403183,0.11973121053200045,0.10282876146472271,0.176008447990071,0.055554961563777476,0.09630005171001908,0.9131828172206254,0.08793955251904713,10
C,0.5430387436483667,0.49439513880763847,0.26651201218581866,0.5717828438493824,0.36706317166828845,0.4148243314489989,1.0,0.4148243314489989,2
C_mach,0.11135883136673137,0.18293831662505863,0.1724655840121292,0.22713768665053088,0.4049154988419684,0.19762557354844532,0.9557246369114779,0.18887562952401046,6
DE,0.2284599513173257,0.09750477209289535,0.06263091076681811,0.3565126617142713,0.33927813554204034,0.1652779952081624,1.0,0.1652779952081624,7
F,0.5581817874876871,0.22440270566375248,0.014510222135861691,0.34961992364224725,0.031662647637637605,0.09715018913862752,0.9999995666259808,0.09715014703625958,9
G,0.2507511729913774,0.3265262937285826,0.21543498239475214,0.22548100099937304,0.09113540832602235,0.20256432760521906,0.954550296297248,0.19335783893481465,5
H,0.25399415734453457,0.20397097468069372,0.04453743689807016,0.3895137604138624,0.08703418291750138,0.13565597752906788,1.0,0.13565597752906788,8
J,0.6304292810481913,0.20065574639651804,0.32317195303218116,0.30279203485813033,0.29162025725369106,0.3316166436517358,0.9933365241558649,0.3294069241572493,4
K,0.6504987788301985,0.12412280137175696,0.8103064353019962,0.2112740399702199,0.5607395514951643,0.4186261705816093,0.9439003536724925,0.3951413904685422,3
M,0.6050511385807268,0.1872292413378679,0.6287598964303621,0.6815082833053803,0.46274302855136573,0.48731263577137424,1.0,0.48731263577137424,1
