scenario,throttle_scenario,year,sector_id,sector_name_ru,class_id,ai_intensity,va_ai_bn_rub,va_share_ai,margin_ai,adaptation_managed,lp_gain_vs_cf_pct,delta_k_need_managed_bn_rub,cumulative_delta_k_need_managed_bn_rub,incremental_profit_pool_vs_cf_bn_rub,cumulative_net_value_after_capex_bn_rub,transition_risk_score,strategy_capacity_index,adaptive_potential,credit_potential,bank_profitability,financial_stability,strategic_convergence,base_forward_index_no_gate,financial_risk_penalty,forward_resilience_index,forward_rank,base_rank_2024,base_resilience_index_2024,rank_change_2030_vs_2024
Base,BaseThrottle,2030,M,Профессиональные и научные услуги,software,high,12067.933756225746,0.0796891198654806,0.5158260060713992,0.3647652795736482,8.355614789593746,8.276610332108126,31.0311193162115,809.1231683290307,2116.676618394338,2.655172930982003,50.315775032325675,0.8091174316801871,0.21545297177510164,0.750329703105749,0.7558624927653179,1.0,0.5905109505768843,1.0,0.5905109505768843,1,1,0.4873126357713742,0
Base,BaseThrottle,2030,K,Финансы и страхование,software,high,15333.430030561114,0.1012524238479494,0.661905040041814,0.3424506122214071,7.824976078260204,15.75457490349296,59.06791234449219,1245.6100041742377,3100.522453305634,7.982278671665727,42.636759183321104,1.0,0.36237104078436905,0.873519715473133,0.14423865087572804,0.7870810391275834,0.5018530822255466,0.8807220484158943,0.4419930745815136,2,3,0.3951413904685422,1
Base,BaseThrottle,2030,J,ИТ и связь,software,high,9953.824298215352,0.0657288574534315,0.4435337559053027,0.3108798008860394,7.078664028019488,15.320907169280057,57.44198159942063,495.8992930378877,1227.9814365193645,2.6422055022585416,46.59583641594871,0.9292038661226387,0.27598021075796586,0.6419202331542907,0.12694488231797268,0.9997174257098219,0.45358978452123383,0.8613444843778616,0.3906970590675075,3,4,0.3294069241572493,1
Base,BaseThrottle,2030,G,Оптовая и розничная торговля,hybrid,medium,24144.241690999133,0.1594335375915179,0.4207788962088949,0.1026430860067067,1.447377729659283,10.183561530167976,39.54727237919134,237.43944214177827,643.3257898573306,7.273732489532235,32.33436011808719,0.22294801011573367,0.3248446604265163,0.32319393746111436,0.5455625188464481,0.25173097918135195,0.3139682894041419,1.0,0.3139682894041419,4,5,0.1933578389348146,1
Base,BaseThrottle,2030,C_mach,Машиностроение (ОКВЭД 26–30),hybrid,medium,8501.79691085772,0.0561405727597565,0.5642188823750259,0.0928059919090613,1.3077612550582265,8.131135482771873,31.576794497355237,101.5282453580512,239.9152775367267,7.756803805400368,39.770865910999674,0.4261922415135377,0.16466884748208174,0.2683267070867853,0.3559203647561336,0.42347827688187545,0.3020215802704794,1.0,0.3020215802704794,5,6,0.1888756295240104,1
Base,BaseThrottle,2030,C,Обрабатывающая промышленность без машиностроения,hybrid,low_medium,26227.700712172176,0.1731914036046142,0.564375512217446,0.0941615338714955,1.326988848477395,24.11651272249628,93.655082718105,317.80325447859104,794.1439734078108,14.444031102688934,39.75329227097196,0.3175976519256973,0.5752323714607164,0.4306481806275521,0.21183456963364677,0.150593312907971,0.3050920740787751,0.944339952542774,0.288110634756727,6,2,0.4148243314489989,-4
Base,BaseThrottle,2030,B,Добыча полезных ископаемых,hardware,low,24219.59053988039,0.159931094470062,0.8568087302977366,0.0398669573738462,0.3594470835099672,52.38719618368087,232.67096111919727,99.53238495780896,72.91965405653264,27.87048922710037,37.19933478686923,0.0904536104268958,0.7861262424938946,0.17825928596548277,0.19827298007171776,0.08698185098803703,0.1986648655442579,0.9332676343532416,0.1854074890955944,7,10,0.0879395525190471,3
Base,BaseThrottle,2030,H,Транспорт и логистика,hardware,medium,14383.79489937068,0.0949816247760813,0.4663162710568344,0.0399814734941185,0.3604814385463672,14.914210131491604,66.23953672689191,32.263327364982615,31.21687654700412,17.014935579018967,38.859833261447065,0.1216809548584747,0.3493453019161358,0.08662998531464923,0.21389862087563594,0.09350248435183625,0.15894373327680544,0.9459450898237717,0.15035204405145333,8,8,0.1356559775290678,0
Base,BaseThrottle,2030,DE,Энергетика и ЖКХ,hybrid,low,4882.907954898983,0.0322436835642483,0.5403919914965224,0.095589872883169,1.3472529752479367,41.94541758776415,162.89260387813158,57.49823773342496,5.7624516453228125,13.086538381238428,46.57353923729901,0.05927090875489919,0.11524293119285667,0.13916556341359962,0.187700069286359,0.40364410508000553,0.14881170587407588,0.924017930219787,0.1375046844542393,9,7,0.1652779952081624,-2
Base,BaseThrottle,2030,F,Строительство,hardware,low,11722.438156961938,0.0774076820668578,0.2378814835097674,0.0402706680072784,0.3630936055916356,2.1374280260451295,9.493110327938265,13.509920457348016,30.48424288622613,8.158584496405284,36.4513533400364,0.15245364927800142,0.06511055944370661,0.019031621557760735,0.26500589389005696,0.24524081113224605,0.11127602198127227,0.9785611561313642,0.10889039271969289,10,9,0.0971501470362595,-1
