year,sector_id,sector_name_ru,okved,ai_intensity,rti_bucket,dominant_task_shift,va_current_bn_rub,va_share_2024,va_real_growth_pct,va_deflator_growth_pct,employment_thousand_persons,employment_share_2024,avg_monthly_wage_rub,fot_proxy_bn_rub,fot_share_2024,labour_share_proxy,delta_sL_baseline_mean,delta_sL_core,delta_sL_stress,labour_share_core,labour_share_stress,delta_fot_core_bn_rub,delta_fot_stress_bn_rub,delta_emp_eq_core_thousand,delta_emp_eq_stress_thousand,margin_erosion_speed,margin_erosion_pvalue,margin_erosion_qvalue,staffing_proxy_exact,is_proxy_mn
2024,H,Транспорт и логистика,H,medium,high,task_displacing,12483.750846118985,0.10148185082990599,5.027877084791001,9.5755469732661,5917.1,0.12764695222973907,90120.3,6399.009925560001,0.12093071336561122,0.5125871226074141,-0.0811564793622036,-0.1783707020339485,-0.2755849247056935,0.3342164205734656,0.2370021979017206,-2226.7354024391407,-3440.333536972337,-2059.039789443611,-3181.2417559014048,0.0419537861926466,0.0007269949522432,0.003634974761216,False,False
2024,C_mach,Машиностроение (ОКВЭД 26–30),C 26-30,medium,medium,task_displacing,5639.664498283935,0.045845483332719185,20.013236384793714,14.451454472879476,2221.557700929245,0.047924670822890314,87974.7,2345.290467263281,0.044322114288781286,0.415856380814305,-0.055,-0.1045210553316377,-0.1540421106632754,0.3113353254826673,0.2618142701510296,-589.4636850770082,-868.7458227483999,-558.3647771054333,-822.9125558715555,0.0419537861926466,0.0007269949522432,0.003634974761216,False,False
2024,B,Добыча полезных ископаемых,B,low,high,task_displacing,22455.017039232367,0.18253942405994225,-0.534839518836236,20.701905078000067,1234.1,0.02662268742233881,156081.79999999996,2311.4465925599998,0.04368252098317066,0.1029367552258609,-0.0667572446300245,-0.0978230906786185,-0.1288889367272125,0.005113664547242408,0.0,-2196.619168018753,-2311.4465925599998,-1172.7927108407007,-1234.1,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,G,Оптовая и розничная торговля,G,medium,low,task_displacing,22144.667050602595,0.18001655319849913,5.765034448538103,4.085628615448371,13481.7,0.2908346852133094,77183.9,12486.84221556,0.23598068363354674,0.5638758165578386,-0.04,-0.0886071113358724,-0.1372142226717449,0.4752687052219662,0.4266615938860937,-1962.1749788485686,-3038.5632756730356,-2118.506340968959,-3280.653171271292,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,K,Финансы и страхование,K,high,low,task_creating,9210.333696751528,0.07487186518128676,24.30587924724212,-9.33288025001336,1276.3,0.02753304915090432,205974.0,3154.6153944,0.05961701801947828,0.3425082628127391,0.0007281200589942,-0.073512859228206,-0.1477538385154063,0.2689954035845331,0.1947544242973328,-677.0779644940976,-1360.862157702831,-273.9334270725503,-550.5800722837312,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,J,ИТ и связь,J,high,low,task_displacing,6642.288495110908,0.05399592947175848,12.132957302563652,12.019876944048375,1890.6,0.0407850683418473,166037.1,3766.91689512,0.07118850456791083,0.5671113047698334,-0.0328296484377297,-0.0682456755285462,-0.1036617026193628,0.4988656292412872,0.4634496021504706,-453.3074654043344,-688.5509346922017,-227.51314084037764,-345.58086450367705,0.0419537861926466,0.0007269949522432,0.003634974761216,False,False
2024,F,Строительство,F,low,high,task_displacing,9345.761480454275,0.07597277325878332,6.070607645519075,8.858376138513123,6816.0,0.14703851995029685,85606.3,7001.910489600001,0.13232453774563918,0.7492070607883365,-0.0410737213585736,-0.0677287541356785,-0.0943837869127835,0.6814783066526581,0.6548232738755531,-632.9767815203822,-882.0883601088963,-616.1703651097936,-858.6676838317743,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,DE,Энергетика и ЖКХ,D+E,low,medium,task_displacing,4868.794419474021,0.039578991529789144,2.498825325496682,10.70361167970293,2190.5,0.047254676929449124,79455.20054782013,2088.5594016,0.03947032139035769,0.4289684923327751,-0.0376312837326815,-0.0563476951105708,-0.0750641064884602,0.3726207972222043,0.35390438584431494,-274.3453435045708,-365.4717027738186,-287.73587884854265,-383.31002906249813,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,C,Обрабатывающая промышленность без машиностроения,C excl. 26-30,low_medium,medium,task_displacing,21196.4700389022,0.17230855030058348,6.378421723068612,7.849037212801051,8349.642299070756,0.1801230994380513,87974.7,8814.68731641672,0.1665830241974179,0.415856380814305,-0.0226501670159914,-0.0556642039037498,-0.0886782407915083,0.36019217691055516,0.32717814002279666,-1179.8846302851762,-1879.6656740397611,-1117.6363112398378,-1780.4983270187918,0.0419537861926466,0.0007269949522432,0.003634974761216,True,False
2024,M,Профессиональные и научные услуги,M,high,low,task_creating,9027.867797603649,0.0733885788367322,6.697326444665336,10.666855669261622,2977.7,0.06423659050117354,127206.7,4545.40068708,0.08590056180808618,0.5034855171767723,0.0272170202368088,-0.0380169912243821,-0.1032510026855731,0.46546852595239013,0.4002345144911992,-343.2123708363788,-932.1364022153725,-224.83902894290608,-610.644199699762,0.0419537861926466,0.0007269949522432,0.003634974761216,False,True
