sector_id,sector_name_ru,okved,ai_intensity,rti_bucket,rti_median_hist,rti_mean_hist,rti_std_hist,staffing_proxy_exact,is_proxy_mn,dominant_task_shift,n_country_pairs,n_benchmark_core_pairs,delta_sL_baseline_mean,delta_sL_baseline_median,delta_sL_core,delta_sL_stress,delta_sL_tail_q25,delta_sL_tail_q10,std_delta_tc_long,q25_delta_tc_long,q10_delta_tc_long,sigma_multiplier_core,sigma_multiplier_stress,scenario_rule,margin_erosion_coef,margin_erosion_speed,margin_erosion_pvalue,margin_erosion_qvalue,margin_erosion_survives,baseline_anchor,task_shock_measure
J,ИТ и связь,J,high,low,-0.0479398592269037,-0.023921851885617334,0.12117358527271381,False,False,task_displacing,29,12,-0.0328296484377297,-0.0057364273071289,-0.06824567552854625,-0.1036617026193628,-0.0860087203979489,-0.1173665924072261,0.0708320541816331,-0.0860087203979489,-0.1173665924072261,0.5,1.0,"core=0.50σ, stress=1.00σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
K,Финансы и страхование,K,high,low,-0.075915830246033,-0.041939243815710514,0.14743856672502467,True,False,task_creating,29,12,0.0007281200589942,0.020551912970899,-0.07351285922820605,-0.1477538385154063,-0.0965118026733399,-0.1728559382209461,0.1484819585744005,-0.0965118026733399,-0.1728559382209461,0.5,1.0,"core=0.50σ, stress=1.00σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
M,Профессиональные и научные услуги,M,high,low,-0.0479398592269037,-0.023921851885617334,0.12117358527271381,False,True,task_creating,29,0,0.0272170202368088,0.0100641632080081,-0.03801699122438219,-0.10325100268557319,-0.0435808563232418,-0.0787824859619135,0.130468022922382,-0.0435808563232418,-0.0787824859619135,0.5,1.0,"core=0.50σ, stress=1.00σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
B,Добыча полезных ископаемых,B,low,high,0.49096952548692896,0.4619296576266217,0.24240573157199075,True,False,task_displacing,28,11,-0.0667572446300245,-0.0539897513389589,-0.0978230906786185,-0.1288889367272125,-0.1716234016418457,-0.2285688362121585,0.124263384194376,-0.1716234016418457,-0.2285688362121585,0.25,0.5,"core=0.25σ, stress=0.50σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
DE,Энергетика и ЖКХ,D+E,low,medium,0.2673227508285332,0.25009597912552317,0.2058965100541619,True,False,task_displacing,27,15,-0.0376312837326815,-0.0278532619238615,-0.05634769511057088,-0.07506410648846026,-0.075707916744336,-0.1273310082897896,0.0998208606820767,-0.075707916744336,-0.1273310082897896,0.1875,0.375,"core=0.19σ, stress=0.38σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
F,Строительство,F,low,high,0.44463468235775555,0.41430559339905154,0.14146273183292113,True,False,task_displacing,29,15,-0.0410737213585736,-0.0211289215087889,-0.06772875413567855,-0.0943837869127835,-0.0741528320312501,-0.1203639297485349,0.1066201311084198,-0.0741528320312501,-0.1203639297485349,0.25,0.5,"core=0.25σ, stress=0.50σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
C,Обрабатывающая промышленность без машиностроения,C excl. 26-30,low_medium,medium,0.4007048936938187,0.40535142026278664,0.15315408289789012,True,False,task_displacing,29,15,-0.0226501670159914,-0.0336517715454099,-0.05566420390374989,-0.08867824079150838,-0.0608127593994139,-0.120499809265137,0.0880374317006893,-0.0608127593994139,-0.120499809265137,0.375,0.75,"core=0.38σ, stress=0.75σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
C_mach,Машиностроение (ОКВЭД 26–30),C 26-30,medium,medium,0.4007048936938187,0.40535142026278664,0.15315408289789012,False,False,task_displacing,29,15,-0.055,-0.05,-0.10452105533163773,-0.15404211066327547,-0.105,-0.15,0.0880374317006893,-0.105,-0.15,0.5625,1.125,"core=0.56σ, stress=1.12σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
G,Оптовая и розничная торговля,G,medium,high,0.4307595618428036,0.4367311562580177,0.14217082966455313,True,False,task_displacing,29,12,-0.04,-0.035,-0.13721422267174496,-0.23442844534348992,-0.08,-0.12,0.1296189635623266,-0.08,-0.12,0.75,1.5,"core=0.75σ, stress=1.50σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
H,Транспорт и логистика,H,medium,high,0.4307595618428036,0.4367311562580177,0.14217082966455313,False,False,task_displacing,29,12,-0.0811564793622036,-0.065238571166993,-0.17837070203394856,-0.2755849247056935,-0.171673011779785,-0.2620095062255856,0.1296189635623266,-0.171673011779785,-0.2620095062255856,0.75,1.5,"core=0.75σ, stress=1.50σ from historical mean ΔTC",-0.0419537861926466,0.0419537861926466,0.0007269949522432,0.003634974761216,True,historical_mean_and_median,delta_labour_share_structural
